name,calories,protein,carbs,fat,ingredients,recipe
Protein-Packed Paratha Roll,400,30,40,15,"1 cup whole wheat flour, 1/2 cup cooked chickpeas, 1 small onion (chopped), 1 small tomato (chopped), 1 green chili (chopped), 1/2 teaspoon turmeric powder, 1/2 teaspoon cumin powder, 1/2 teaspoon coriander powder, salt to taste, 1 tablespoon oil, fresh coriander leaves (for garnish)","In a bowl, mix whole wheat flour with water and knead it into a soft dough. Let it rest for 15-20 minutes. Meanwhile, mash the cooked chickpeas in a bowl.Heat oil in a pan and saute chopped onion until translucent. Add chopped tomato and green chili to the pan and cook until tomatoes are soft. Add mashed chickpeas and spices (turmeric powder, cumin powder, coriander powder, salt) to the pan. Mix well and cook for another 2-3 minutes. Divide the dough into small balls and roll each ball into a thin paratha. Place a portion of the chickpea mixture in the center of each paratha and roll it up.Heat a flat pan or tawa and cook the rolled parathas on both sides until golden brown. Serve hot, garnished with fresh coriander  leaves."
Nutty Lentil Pancakes,380,28,35,12,"1 cup split red lentils (masoor dal), 1 small onion (finely chopped), 2 green chilies (finely chopped), 1/4 cup chopped cilantro, 2 tablespoons chopped peanuts, 1/2 teaspoon turmeric powder, 1/2 teaspoon cumin seeds, salt to taste, oil for cooking","Soak the split red lentils in water for 2-3 hours, then drain them. In a blender, grind the soaked lentils into a smooth batter. Transfer the lentil batter to a mixing bowl and add chopped onion, green chilies, cilantro, chopped peanuts, turmeric powder, cumin seeds, and salt. Mix well. Heat a non-stick skillet or griddle over medium heat and lightly grease it with oil. Pour a ladleful of the lentil batter onto the skillet and spread it out into a thin pancake. Cook the pancake for 2-3 minutes on each side until golden brown and cooked through. Repeat with the remaining batter to make more pancakes. Serve hot with yogurt or your favorite chutney."
Chickpea Flour Omelette with Vegetables,320,22,25,15,"1 cup chickpea flour (besan), 1/2 cup water, 1 small onion (finely chopped), 1 small tomato (finely chopped), 1/4 cup chopped spinach, 2 green chilies (finely chopped), 1/2 teaspoon turmeric powder, 1/2 teaspoon cumin seeds, salt to taste, oil for cooking","In a mixing bowl, combine chickpea flour, water, turmeric powder, cumin seeds, and salt to make a smooth batter. Add chopped onion, tomato, spinach, and green chilies to the batter. Mix well. Heat a non-stick skillet or frying pan over medium heat and lightly grease it with oil. Pour a ladleful of the batter onto the skillet and spread it out into a thin omelette. Cook the omelette for 2-3 minutes on each side until golden brown and cooked through. Repeat with the remaining batter to make more omelettes. Serve hot with a side of yogurt or your favorite chutney."
Pakistani Omelette,300,15,20,18,"3 eggs, 1 tomato (diced), 1 onion (finely chopped), 1 green chili (chopped), 1/4 teaspoon turmeric powder, 1/4 teaspoon red chili powder, Salt to taste, 1 tablespoon oil","Heat oil in a pan over medium heat. Add chopped onions and green chilies. saute until onions are translucent. Add diced tomatoes and cook until they soften. In a bowl, beat the eggs with turmeric powder, red chili powder, and salt. Pour the beaten eggs over the cooked vegetables in the pan. Allow the omelette to cook until set on the bottom, then flip and cook the other side until done. Serve hot with bread or paratha."
Desi Egg Bhurji with Roti,420,31,40,15,"4 eggs, 2 whole wheat rotis, 1 small onion (finely chopped), 1 small tomato (finely chopped), 2 green chilies (finely chopped), 1/2 teaspoon turmeric powder, 1/2 teaspoon cumin seeds, salt to taste, 1 tablespoon oil","Heat oil in a pan over medium heat. Add cumin seeds and let them splutter. Add chopped onion and saute until golden brown. Add chopped tomato and green chilies. Cook until tomatoes are soft. Crack the eggs into the pan and scramble them. Add turmeric powder and salt. Mix well. Cook until the eggs are fully cooked and scrambled. Warm the whole wheat rotis on a separate pan or tawa. Serve the egg bhurji with warm rotis. Optionally, garnish with fresh cilantro leaves  before  serving."
Spicy Egg Stuffed Bell Peppers,300,22,20,12,"2 bell peppers, 4 eggs, 1 small onion (finely chopped), 1 small tomato (finely chopped), 2 cloves garlic (minced), 1/2 teaspoon chili powder, 1/2 teaspoon cumin powder, salt to taste, 1 tablespoon oil","Preheat the oven to 375°F (190°C). Cut the tops off the bell peppers and remove the seeds and membranes. Heat oil in a pan over medium heat. Add chopped onion and minced garlic. saute until onions are translucent. Add chopped tomato, chili powder, cumin powder, and salt. Cook until tomatoes are soft. Crack the eggs into the pan and scramble them with the onion-tomato mixture. Cook until the eggs are fully scrambled. Spoon the egg mixture into the bell peppers. Place the stuffed bell peppers on a baking dish and bake in the preheated oven for 20-25 minutes, or until the peppers are tender. Serve hot as a delicious and nutritious  breakfast."
Egg and Spinach Breakfast Wrap,380,28,30,15,"2 whole wheat tortillas, 4 eggs, 1 cup fresh spinach leaves, 1 small onion (finely chopped), 1/2 cup shredded cheese, salt and pepper to taste, 1 tablespoon oil",Heat oil in a skillet over medium heat. Add chopped onion and saute until translucent. Add fresh spinach leaves and cook until wilted. Crack the eggs into the skillet and scramble them with the spinach-onion mixture. Season with salt and pepper to taste. Warm the whole wheat tortillas in a separate skillet or microwave. Spoon the scrambled egg mixture onto the center of each tortilla. Sprinkle shredded cheese over the eggs. Roll up the tortillas to form wraps. Serve hot and enjoy a nutritious breakfast on the go.
Egg and Cheese Breakfast Muffins,300,22,20,14,"6 eggs, 1/2 cup shredded cheese, 1/4 cup diced bell pepper, 1/4 cup diced onion, salt and pepper to taste, cooking spray","Preheat the oven to 350°F (175°C) and lightly grease a muffin tin with cooking spray. In a mixing bowl, beat the eggs until well combined. Stir in the shredded cheese, diced bell pepper, diced onion, salt, and pepper. Pour the egg mixture evenly into the muffin cups, filling each about 3/4 full. Bake in the preheated oven for 20-25 minutes, or until the muffins are set and golden brown on top. Allow the muffins to cool for a few minutes before removing them from the muffin tin. Serve warm as a convenient and protein-rich breakfast  option."
Egg and Avocado Breakfast Toast,320,24,25,15,"2 slices whole wheat bread, 2 eggs, 1 avocado (sliced), 1 small tomato (sliced), salt and pepper to taste, 1 tablespoon olive oil",Heat olive oil in a non-stick skillet over medium heat. Crack the eggs into the skillet and fry them to your desired doneness. Toast the whole wheat bread slices until golden brown. Place the toasted bread slices on a plate. Top each slice with sliced avocado and tomato. Carefully place a fried egg on top of each toast. Season with salt and pepper to taste. Serve immediately as a delicious and satisfying breakfast.
Egg and Vegetable Breakfast Skillet,350,25,30,12,"4 eggs, 1 small onion (finely chopped), 1 bell pepper (diced), 1 small zucchini (diced), 1 tomato (diced), 2 cloves garlic (minced), 1/2 teaspoon paprika, salt and pepper to taste, 1 tablespoon oil","Heat oil in a large skillet over medium heat. Add chopped onion and minced garlic. saute until onions are soft and translucent. Add diced bell pepper and zucchini to the skillet. Cook until vegetables are tender. Add diced tomato and paprika. Cook for another 2-3 minutes. Crack the eggs into the skillet, evenly distributing them over the vegetable mixture. Season with salt and pepper to taste. Cover the skillet and cook until the eggs are set to your liking."
