name,calories,protein,carbs,fat,ingredients,recipe
Chicken Handi,450,34,45,34,"300g chicken, cut into pieces; 1 cup plain yogurt; 2 onions, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For chicken handi: Heat cooking oil in a large skillet or handi over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onions and sauteuntil golden brown. Add minced garlic, grated ginger, and chopped green chilies. Cook for a minute. Add chicken pieces and cook until they are no longer pink. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add plain yogurt and mix well. Cover and simmer until chicken is cooked through. Garnish with fresh coriander leaves before serving."
Mutton Korma,800,38,15,38,"300g mutton, cut into pieces; 1 cup plain yogurt; 2 onions, thinly sliced; 2 tomatoes, chopped; 2 green chilies, slit; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala powder; Salt, to taste; Fresh mint leaves, for garnish","For mutton korma: Heat cooking oil in a pressure cooker over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onions and sauteuntil golden brown. Add minced garlic, grated ginger, and slit green chilies. Cook for a minute. Add mutton pieces and cook until browned. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, garam masala powder, and salt. Cook until tomatoes are soft. Add plain yogurt and mix well. Pressure cook for about 4-5 whistles or until mutton is tender. Garnish with fresh mint leaves before serving."
Fish Curry,400,30,20,30,"150g fish fillets (such as tilapia or cod); 1 onion, chopped; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For fish curry: Heat cooking oil in a pan over medium heat. Add cumin seeds and let them crackle. Add chopped onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add chopped tomatoes and cook until soft. Add coriander powder, red chili powder, turmeric powder, and salt. Cook until the oil separates. Add fish fillets and gently mix with the masala. Cover and simmer until fish is cooked through. Garnish with fresh coriander leaves before serving."
Keema Aloo,500,30,20,30,"300g minced beef or mutton; 2 potatoes, diced; 1 onion, finely chopped; 2 tomatoes, chopped; 2 green chilies, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For keema aloo: Heat cooking oil in a pan over medium heat. Add cumin seeds and let them crackle. Add finely chopped onion and sauteuntil golden brown. Add minced garlic, grated ginger, and chopped green chilies. Cook for a minute. Add minced beef or mutton and cook until browned. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add diced potatoes and a little water if needed. Cover and simmer until potatoes are tender. Garnish with fresh coriander leaves before serving."
Chapli Kabab,450,34,15,34,"500g ground beef; 1 onion, finely chopped; 2 tomatoes, chopped; 2 green chilies, finely chopped; 2 tablespoons coriander leaves, chopped; 2 tablespoons mint leaves, chopped; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Cooking oil, for frying","For chapli kabab: In a bowl, mix together ground beef, finely chopped onion, chopped tomatoes, chopped green chilies, chopped coriander leaves, chopped mint leaves, cumin seeds, coriander powder, red chili powder, turmeric powder, and salt until well combined. Divide the mixture into equal-sized portions and shape them into flat patties. Heat cooking oil in a skillet over medium heat. Fry the chapli kababs until they are golden brown and cooked through. Serve hot with naan or roti."
Biryani Pulao,500,38,60,38,"quater cups basmati rice; 100g chicken , cut into pieces; 1 onion, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh mint leaves, for garnish","For biryani pulao: Wash and soak basmati rice in water for 30 minutes. Drain and set aside. Heat cooking oil in a large pot over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add chicken or mutton pieces and cook until browned. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add soaked rice and mix gently. Add enough water to cover the rice (about 3-4 cups). Cover and cook until rice is tender and water is absorbed. Garnish with fresh mint leaves before serving."
Bhindi Masala,300,23,20,23,"100g okra (bhindi), chopped; 1 onion, finely chopped; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For bhindi masala: Heat cooking oil in a pan over medium heat. Add cumin seeds and let them crackle. Add finely chopped onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add chopped tomatoes and cook until soft. Add chopped okra, coriander powder, red chili powder, turmeric powder, and salt. Cook until okra is tender. Garnish with fresh coriander leaves before serving."
Chicken Tikka,400,30,15,30,"200g chicken breast, cut into cubes; 1/4 cup plain yogurt; 2 tablespoons lemon juice; 2 tablespoons ginger garlic paste; 1 teaspoon red chili powder; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala powder; Salt, to taste; Cooking oil, for grilling","For chicken tikka: In a bowl, mix together plain yogurt, lemon juice, ginger garlic paste, red chili powder, coriander powder, turmeric powder, garam masala powder, and salt. Add chicken cubes and marinate for at least 1 hour in the refrigerator. Thread the marinated chicken cubes onto skewers. Heat a grill pan or barbecue grill over medium-high heat. Grill the chicken tikka skewers until they are cooked through and slightly charred on the outside, turning occasionally. Serve hot with mint chutney or yogurt dip."
Vegetable Pulao,400,26,60,26,"Quater cups basmati rice; Assorted vegetables (such as carrots, peas, beans), diced; 1 onion, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; Salt, to taste; Fresh coriander leaves, for garnish","For vegetable pulao: Wash and soak basmati rice in water for 30 minutes. Drain and set aside. Heat cooking oil in a large pot over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add diced vegetables and cook for 3-4 minutes. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, and salt. Cook until tomatoes are soft. Add soaked rice and mix gently. Add enough water to cover the rice (about 3-4 cups). Cover and cook until rice is tender and water is absorbed. Garnish with fresh coriander leaves before serving."
Beef Nihari,500,38,15,38,"300g beef shank, cut into pieces; 2 onions, thinly sliced; 2 tomatoes, chopped; 2 green chilies, sliced; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala powder; Salt, to taste; Fresh ginger julienne and chopped coriander leaves, for garnish","For beef nihari: Heat cooking oil in a pressure cooker over medium heat. Add cumin seeds and let them crackle. Add thinly sliced onion and sauteuntil golden brown. Add minced garlic, grated ginger, and sliced green chilies. Cook for a minute. Add beef shank pieces and cook until browned. Add chopped tomatoes, coriander powder, red chili powder, turmeric powder, garam masala powder, and salt. Cook until tomatoes are soft. Add enough water to cover the meat. Pressure cook for about 4-5 whistles or until meat is tender. Garnish with fresh ginger julienne and chopped coriander leaves before serving."
