name,calories,protein,carbs,fat,ingredients,recipe
Cucumber Hummus Bites,100,8,10,8,1 cucumber; 1/4 cup hummus,For cucumber hummus bites: Slice cucumber into rounds and top each with a dollop of hummus.
Roasted Chickpeas,150,11,15,11,"1 cup cooked chickpeas; 1 tablespoon olive oil; 1 teaspoon paprika; 1/2 teaspoon garlic powder; Salt, to taste","For roasted chickpeas: Preheat oven to 400°F (200°C). Toss chickpeas with olive oil, paprika, garlic powder, and salt. Spread on a baking sheet and bake for 20-25 minutes until crispy."
Yogurt and Berry Popsicles,80,6,8,6,1 cup Greek yogurt; 1/2 cup mixed berries; 1 tablespoon honey,"For yogurt and berry popsicles: Blend Greek yogurt, mixed berries, and honey until smooth. Pour into popsicle molds and freeze until set."
Cottage Cheese Stuffed Bell Peppers,120,9,12,9,2 bell peppers; 1/2 cup low-fat cottage cheese; 1/4 teaspoon black pepper,For cottage cheese stuffed bell peppers: Slice bell peppers in half and remove seeds. Fill each half with low-fat cottage cheese and sprinkle with black pepper.
Almond Butter Banana Bites,150,11,15,11,1 banana; 2 tablespoons almond butter,For almond butter banana bites: Slice banana into rounds and spread each with almond butter.
Veggie Sticks with Hummus,120,9,12,9,1 carrot; 1 cucumber; 1/4 cup hummus,For veggie sticks with hummus: Cut carrot and cucumber into sticks and serve with hummus for dipping.
Greek Yogurt with Granola,200,15,20,15,1 cup Greek yogurt; 1/4 cup granola,For Greek yogurt with granola: Top Greek yogurt with granola for a crunchy and protein-rich snack.
Fruit and Nut Trail Mix,180,14,18,14,1/4 cup almonds; 1/4 cup walnuts; 1/4 cup dried cranberries; 1/4 cup dried apricots,"For fruit and nut trail mix: Mix almonds, walnuts, dried cranberries, and dried apricots together for a satisfying snack on the go."
Whole Grain Crackers with Avocado,130,10,13,10,4 whole grain crackers; 1/2 avocado,For whole grain crackers with avocado: Spread mashed avocado onto whole grain crackers for a fiber-rich snack.
Egg Salad Cucumber Boats,120,9,12,9,"2 hard-boiled eggs, chopped; 2 tablespoons Greek yogurt; 1 tablespoon finely chopped celery; Salt and pepper, to taste; 2 small cucumbers","For egg salad cucumber boats: Cut cucumbers in half lengthwise and scoop out the seeds. In a bowl, mix chopped hard-boiled eggs, Greek yogurt, celery, salt, and pepper. Fill each cucumber half with the egg salad mixture."
Green Apple Slices with Peanut Butter,150,11,15,11,"1 medium green apple, sliced; 2 tablespoons peanut butter",For green apple slices with peanut butter: Spread peanut butter onto green apple slices for a satisfying and crunchy snack.
