(name,calories,protein,carbs,fats,ingredients,recipe)
Chickpea Salad,550,19,90,10,"1 cup boiled chickpeas, 1 small cucumber, 1 small tomato, 1 small red onion, 1 green chili (optional), Fresh coriander leaves, Lemon juice, Salt, Pepper"," Mix all chopped vegetables and chickpeas. Add lemon juice, salt, and pepper. Garnish with coriander leaves. Serve chilled."
Chicken Biryani,550,30,65,18,"100g chicken breast, 1/2 cup basmati rice, 1 onion, 1 tomato, 1 tablespoon yogurt, 1 tablespoon biryani masala, Salt, Fresh coriander leaves"," Saute onions, add chicken, tomatoes, yogurt, biryani masala, and salt. Layer with cooked rice, cover, and cook. Garnish with coriander leaves."
Lentil Soup (Masoor ki Daal),500,25,80,3,"1/2 cup red lentils, 1 small onion, 1 tomato, 2 cloves garlic, 1 green chili, 1 teaspoon turmeric powder, Salt, Fresh coriander leaves","Combine ingredients in a pot with water, boil, simmer until lentils are cooked. Garnish with coriander leaves."
Grilled Fish with Vegetables,600,35,15,40,"150g fish fillet, 1 tablespoon olive oil, 1 teaspoon lemon juice, Salt, Pepper, Mixed vegetables (e.g., bell peppers, zucchini, carrots)"," Marinate fish with olive oil, lemon juice, salt, and pepper. Grill fish and vegetables. Serve hot."
Mixed Vegetable Curry with Chapati,550,15,90,12,"Mixed vegetables, 1 onion, 1 tomato, 1 tablespoon oil, 1 teaspoon cumin seeds, 1 teaspoon turmeric powder, Salt, Chili powder, Fresh coriander leaves, Whole wheat chapati (1 medium)"," Heat oil, add cumin seeds and onion. Saute until golden brown. Add tomatoes, turmeric powder, salt, and chili powder. Add mixed vegetables and water, cover, and cook. Garnish with coriander leaves. Serve with chapati."
Beef Kebabs with Raita,550,30,15,40,"150g lean beef mince, 1 small onion, 1 green chili, 1 tablespoon chopped fresh coriander, 1 teaspoon ginger paste, 1 teaspoon garlic paste, Salt, Pepper, 1 tablespoon oil for grilling, 1/2 cup plain yogurt, 1 small cucumber, Salt, Cumin powder","Mix beef mince, onion, chili, coriander, ginger paste, garlic paste, salt, and pepper. Shape into kebabs and grill until cooked. For raita, mix yogurt, grated cucumber, salt, and cumin powder. Serve kebabs with raita."
Beef Stir-Fry with Vegetables,550,25,30,35,"150g beef steak, 1 tablespoon oil, 1 onion, 1 bell pepper, 1 carrot, 1 teaspoon ginger paste, 1 teaspoon garlic paste, 2 tablespoons soy sauce, Salt, Pepper, Fresh coriander leaves"," Stir-fry beef until browned, then set aside. Stir-fry onion, bell pepper, and carrot. Add ginger paste, garlic paste, soy sauce, salt, pepper, and cooked beef. Garnish with coriander leaves."
Beef Curry (Bhuna Gosht),550,30,20,40,"200g beef cubes, 2 tablespoons oil, 1 onion, 1 tomato, 1 teaspoon ginger paste, 1 teaspoon garlic paste, 1 teaspoon chili powder, 1/2 teaspoon turmeric powder, 1 teaspoon coriander powder, Salt, Fresh coriander leaves","Saute onion, add ginger paste, garlic paste, and tomato. Add beef, spices, and salt. Cook until tender. Garnish with coriander leaves. Serve with rice or roti."
Beef Seekh Kebabs with Mint Chutney,550,25,20,35,"200g lean ground beef, 1 small onion (finely chopped), 1 teaspoon ginger paste, 1 teaspoon garlic paste, 1 green chili (finely chopped), 1 tablespoon chopped fresh coriander, 1 teaspoon garam masala, Salt to taste, Mint leaves for garnish","Mix ground beef, onion, ginger paste, garlic paste, green chili, coriander, garam masala, and salt. Shape the mixture onto skewers to form kebabs. Grill or broil until cooked through. Serve with mint chutney."
Tandoori Chicken with Yogurt Dip,550,30,20,35,"2 chicken thighs (skinless), 2 tablespoons tandoori masala, 2 tablespoons yogurt, 1 tablespoon lemon juice, Salt to taste, Mint leaves for garnish","Marinate chicken thighs with tandoori masala, yogurt, lemon juice, and salt. Refrigerate for at least 1 hour. Grill or bake until chicken is cooked through. Serve with yogurt dip and garnish with mint leaves."
